0	0.55	-0.02
1	0.55	0.05
2	0.55	0.05
3	0.55	0.05
4	0.55	0.05
5	0.55	0.05
6	0.70	0.05
7	0.70	0.05
8	0.70	0.05
9	0.70	0.05
10	0.70	0.05
11	0.70	0.05
12	0.51	0.05
13	0.51	0.05
14	0.51	0.05
15	0.51	0.05
16	0.51	-0.02
17	0.62	-0.02
18	0.62	-0.02
19	0.62	-0.02
20	0.62	-0.02
21	0.62	0.13
22	0.55	0.13
23	0.55	0.13
24	0.55	0.13
25	0.55	0.13
26	0.55	0.21
27	0.47	0.21
28	0.47	0.21
29	0.47	0.21
30	0.47	0.21
31	0.47	0.21
32	0.55	0.05
33	0.55	0.05
34	0.55	0.05
35	0.55	0.05
36	0.55	0.05
37	0.51	0.01
38	0.51	0.01
39	0.51	0.01
40	0.51	0.01
41	0.51	0.01
42	0.62	0.17
43	0.62	0.17
44	0.62	0.17
45	0.62	0.17
46	0.62	0.17
47	0.62	0.01
48	0.62	0.01
49	0.62	0.01
50	0.62	0.01
51	0.62	0.01
52	0.62	0.09
53	0.51	0.09
54	0.51	0.09
55	0.51	0.09
56	0.51	0.09
57	0.51	0.01
58	0.73	0.01
59	0.73	0.01
60	0.73	0.01
61	0.73	0.01
62	0.73	0.01
63	0.51	0.09
64	0.51	0.09
65	0.51	0.09
66	0.51	0.09
67	0.51	0.09
68	0.62	-0.02
69	0.62	-0.02
70	0.62	-0.02
71	0.62	-0.02
72	0.62	-0.02
73	0.55	0.05
74	0.55	0.05
75	0.55	0.05
76	0.55	0.05
77	0.55	0.05
78	0.51	0.13
79	0.51	0.13
80	0.51	0.13
81	0.51	0.13
82	0.51	0.13
83	0.51	0.01
84	0.58	0.01
85	0.58	0.01
86	0.58	0.01
87	0.58	0.01
88	0.58	0.17
89	0.51	0.17
90	0.51	0.17
91	0.51	0.17
92	0.51	0.17
93	0.51	0.13
94	0.51	0.13
95	0.51	0.13
96	0.51	0.13
97	0.51	0.13
98	0.51	0.13
99	0.62	0.05
100	0.62	0.05
101	0.62	0.05
102	0.62	0.05
103	0.62	0.05
104	0.58	0.01
105	0.58	0.01
106	0.58	0.01
107	0.58	0.01
108	0.58	0.01
109	0.62	0.05
110	0.62	0.05
111	0.62	0.05
112	0.62	0.05
113	0.62	0.05
114	0.58	0.01
115	0.58	0.01
116	0.58	0.01
117	0.58	0.01
118	0.58	0.01
119	0.58	0.24
120	0.43	0.24
121	0.43	0.24
122	0.43	0.24
123	0.43	0.24
124	0.43	0.13
125	0.66	0.13
126	0.66	0.13
127	0.66	0.13
128	0.66	0.13
129	0.66	0.01
130	0.58	0.01
131	0.58	0.01
132	0.58	0.01
133	0.58	0.01
134	0.58	0.01
135	0.47	0.01
136	0.47	0.01
137	0.47	0.01
138	0.47	0.01
139	0.47	0.01
140	0.47	0.17
141	0.47	0.17
142	0.47	0.17
143	0.47	0.17
144	0.47	0.17
145	0.55	0.17
146	0.55	0.17
147	0.55	0.17
148	0.55	0.17
149	0.55	0.17
150	0.47	0.05
151	0.47	0.05
152	0.47	0.05
153	0.47	0.05
154	0.47	0.05
155	0.47	0.09
156	0.43	0.09
157	0.43	0.09
158	0.43	0.09
159	0.43	0.09
160	0.43	0.05
161	0.43	0.05
162	0.43	0.05
163	0.43	0.05
164	0.43	0.05
165	0.43	0.01
166	0.51	0.01
167	0.51	0.01
168	0.51	0.01
169	0.51	0.01
170	0.51	0.01
171	0.51	0.09
172	0.51	0.09
173	0.51	0.09
174	0.51	0.09
175	0.51	0.09
176	0.51	0.17
177	0.51	0.17
178	0.51	0.17
179	0.51	0.17
180	0.51	0.17
181	0.47	-0.02
182	0.47	-0.02
183	0.47	-0.02
184	0.47	-0.02
185	0.47	-0.02
186	0.43	0.13
187	0.43	0.13
188	0.43	0.13
189	0.43	0.13
190	0.43	0.13
191	0.43	0.05
192	0.51	0.05
193	0.51	0.05
194	0.51	0.05
195	0.51	0.05
196	0.51	0.05
197	0.51	0.05
198	0.51	0.05
199	0.51	0.05
200	0.51	0.05
201	0.51	0.05
202	0.35	0.05
203	0.35	0.05
204	0.35	0.05
205	0.35	0.05
206	0.35	0.05
207	0.51	0.05
208	0.51	0.05
209	0.51	0.05
210	0.51	0.05
211	0.51	0.05
212	0.66	0.05
213	0.66	0.05
214	0.66	0.05
215	0.66	0.05
216	0.66	0.05
217	0.51	0.24
218	0.51	0.24
219	0.51	0.24
220	0.51	0.24
221	0.51	0.24
222	0.51	0.17
223	0.58	0.17
224	0.58	0.17
225	0.58	0.17
226	0.58	0.17
227	0.58	0.17
228	0.43	0.17
229	0.43	0.17
230	0.43	0.17
231	0.43	0.17
232	0.43	0.28
233	0.55	0.28
234	0.55	0.28
235	0.55	0.28
236	0.55	0.28
237	0.55	0.17
238	0.51	0.17
239	0.51	0.17
240	0.51	0.17
241	0.51	0.17
242	0.51	0.17
243	0.39	0.01
244	0.39	0.01
245	0.39	0.01
246	0.39	0.01
