	7.68	3.05	161.12	2.74	0.86	56.41	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	7.93	3.16	166.52	2.78	0.88	57.31	0.00	-0.00	-0.00	1.00	-0.00	-0.00	0.00
	8.18	3.27	172.06	2.83	0.89	58.21	-0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	8.45	3.38	177.75	2.88	0.90	59.12	-0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	8.71	3.50	183.52	2.92	0.91	60.03	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	8.98	3.61	189.26	2.97	0.92	60.93	0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	9.25	3.73	195.09	3.02	0.93	61.83	-0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	9.52	3.85	201.07	3.06	0.94	62.74	-0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	9.81	3.98	207.25	3.11	0.95	63.66	-0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	10.09	4.10	213.40	3.15	0.96	64.57	-0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	10.38	4.23	219.71	3.20	0.97	65.49	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	10.67	4.36	226.03	3.24	0.98	66.39	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	10.96	4.50	232.51	3.29	0.99	67.31	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	11.26	4.63	239.01	3.33	1.00	68.22	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	11.56	4.77	245.60	3.37	1.02	69.12	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	11.87	4.91	252.35	3.42	1.03	70.04	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	12.17	5.05	259.04	3.46	1.04	70.93	-0.00	0.00	0.00	1.00	-0.00	-0.00	0.00
	12.49	5.20	265.96	3.51	1.05	71.85	-0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
	12.81	5.34	272.97	3.56	1.06	72.76	0.00	-0.00	0.00	1.00	-0.00	-0.00	0.00
